Site,Sampling Period,Genus,Abundance
Plaza,2,Lasioglossum,0
Plaza,3,Lasioglossum,17
Smoot ,1,Lasioglossum,21
Smoot ,2,Lasioglossum,5
Smoot ,3,Lasioglossum,6
Spangle,1,Lasioglossum,1
Spangle,2,Lasioglossum,4
Spangle,3,Lasioglossum,17
Asotin,1,Megachile,0
Asotin,2,Megachile,0
Asotin,3,Megachile,0
Chipman1,1,Megachile,0
Chipman1,2,Megachile,0
Chipman1,3,Megachile,1
Chipman2,1,Megachile,0
Chipman2,2,Megachile,0
Chipman2,3,Megachile,0
Clark1,1,Megachile,0
Clark1,2,Megachile,1
Clark1,3,Megachile,0
Clark2,1,Megachile,0
Clark2,2,Megachile,0
Clark2,3,Megachile,0
Hutchins,1,Megachile,0
Hutchins,2,Megachile,0
Hutchins,3,Megachile,1
Kamiak,1,Megachile,0
Kamiak,2,Megachile,0
Kamiak,3,Megachile,2
Plaza,1,Megachile,0
Plaza,2,Megachile,0
Plaza,3,Megachile,0
Smoot ,1,Megachile,0
Smoot ,2,Megachile,0
Smoot ,3,Megachile,0
Spangle,1,Megachile,0
Spangle,2,Megachile,0
Spangle,3,Megachile,0
Asotin,1,Melissodes,0
Asotin,2,Melissodes,0
Asotin,3,Melissodes,0
Chipman1,1,Melissodes,0
Chipman1,2,Melissodes,0
Chipman1,3,Melissodes,0
Chipman2,1,Melissodes,0
Chipman2,2,Melissodes,0
Chipman2,3,Melissodes,0
Clark1,1,Melissodes,0
Clark1,2,Melissodes,0
Clark1,3,Melissodes,0
Clark2,1,Melissodes,0
Clark2,2,Melissodes,0
Clark2,3,Melissodes,0
Hutchins,1,Melissodes,2
Hutchins,2,Melissodes,0
Hutchins,3,Melissodes,0
Kamiak,1,Melissodes,4
Kamiak,2,Melissodes,3
Kamiak,3,Melissodes,0
Plaza,1,Melissodes,0
Plaza,2,Melissodes,0
Plaza,3,Melissodes,0
Smoot ,1,Melissodes,2
Smoot ,2,Melissodes,1
Smoot ,3,Melissodes,0
Spangle,1,Melissodes,0
Spangle,2,Melissodes,0
Spangle,3,Melissodes,0
Asotin,1,Nomada,4
Asotin,2,Nomada,0
Asotin,3,Nomada,4
Chipman1,1,Nomada,4
Chipman1,2,Nomada,0
Chipman1,3,Nomada,0
Chipman2,1,Nomada,6
Chipman2,2,Nomada,1
Chipman2,3,Nomada,0
Clark1,1,Nomada,12
Clark1,2,Nomada,3
Clark1,3,Nomada,1
Clark2,1,Nomada,13
Clark2,2,Nomada,4
Clark2,3,Nomada,1
Hutchins,1,Nomada,7
Hutchins,2,Nomada,0
Hutchins,3,Nomada,1
Kamiak,1,Nomada,6
Kamiak,2,Nomada,6
Kamiak,3,Nomada,1
Plaza,1,Nomada,0
Plaza,2,Nomada,0
Plaza,3,Nomada,0
Smoot ,1,Nomada,6
Smoot ,2,Nomada,2
Smoot ,3,Nomada,1
Spangle,1,Nomada,0
Spangle,2,Nomada,0
Spangle,3,Nomada,0
Asotin,1,Nomia,0
Asotin,2,Nomia,0
Asotin,3,Nomia,0
Chipman1,1,Nomia,0
Chipman1,2,Nomia,0
Chipman1,3,Nomia,0
Chipman2,1,Nomia,0
Chipman2,2,Nomia,0
Chipman2,3,Nomia,0
Clark1,1,Nomia,0
Clark1,2,Nomia,0
Clark1,3,Nomia,0
Clark2,1,Nomia,0
Clark2,2,Nomia,0
Clark2,3,Nomia,0
Hutchins,1,Nomia,0
Hutchins,2,Nomia,0
Hutchins,3,Nomia,0
Kamiak,1,Nomia,0
Kamiak,2,Nomia,0
Kamiak,3,Nomia,0
Plaza,1,Nomia,0
Plaza,2,Nomia,2
Plaza,3,Nomia,0
Smoot ,1,Nomia,0
Smoot ,2,Nomia,0
Smoot ,3,Nomia,0
Spangle,1,Nomia,0
Spangle,2,Nomia,0
Spangle,3,Nomia,0
Asotin,1,Osmia,1
Asotin,2,Osmia,0
Asotin,3,Osmia,0
Chipman1,1,Osmia,0
Chipman1,2,Osmia,0
Chipman1,3,Osmia,0
Chipman2,1,Osmia,2
Chipman2,2,Osmia,0
Chipman2,3,Osmia,1
Clark1,1,Osmia,2
Clark1,2,Osmia,0
Clark1,3,Osmia,0
Clark2,1,Osmia,4
Clark2,2,Osmia,3
Clark2,3,Osmia,1
Hutchins,1,Osmia,0
Hutchins,2,Osmia,0
Hutchins,3,Osmia,0
Kamiak,1,Osmia,1
Kamiak,2,Osmia,3
Kamiak,3,Osmia,1
Plaza,1,Osmia,3
Plaza,2,Osmia,0
Plaza,3,Osmia,0
Smoot ,1,Osmia,1
Smoot ,2,Osmia,1
Smoot ,3,Osmia,0
Spangle,1,Osmia,0
Spangle,2,Osmia,0
Spangle,3,Osmia,0
Asotin,1,Panurginus,0
Asotin,2,Panurginus,0
Asotin,3,Panurginus,0
Chipman1,1,Panurginus,0
Chipman1,2,Panurginus,0
Chipman1,3,Panurginus,2
Chipman2,1,Panurginus,0
Chipman2,2,Panurginus,0
Chipman2,3,Panurginus,0
Clark1,1,Panurginus,0
Clark1,2,Panurginus,0
Clark1,3,Panurginus,0
Clark2,1,Panurginus,0
Clark2,2,Panurginus,0
Clark2,3,Panurginus,0
Hutchins,1,Panurginus,0
Hutchins,2,Panurginus,0
Hutchins,3,Panurginus,0
Kamiak,1,Panurginus,0
Kamiak,2,Panurginus,0
Kamiak,3,Panurginus,0
Plaza,1,Panurginus,0
Plaza,2,Panurginus,1
Plaza,3,Panurginus,0
Smoot ,1,Panurginus,0
Smoot ,2,Panurginus,0
Smoot ,3,Panurginus,0
Spangle,1,Panurginus,0
Spangle,2,Panurginus,0
Spangle,3,Panurginus,0
Asotin,1,Peponapis,0
Asotin,2,Peponapis,0
Asotin,3,Peponapis,0
Chipman1,1,Peponapis,0
Chipman1,2,Peponapis,0
Chipman1,3,Peponapis,0
Chipman2,1,Peponapis,0
Chipman2,2,Peponapis,0
Chipman2,3,Peponapis,0
Clark1,1,Peponapis,0
Clark1,2,Peponapis,0
Clark1,3,Peponapis,0
Clark2,1,Peponapis,0
Clark2,2,Peponapis,0
Clark2,3,Peponapis,0
Hutchins,1,Peponapis,0
Hutchins,2,Peponapis,0
Hutchins,3,Peponapis,1
Kamiak,1,Peponapis,0
Kamiak,2,Peponapis,0
Kamiak,3,Peponapis,0
Plaza,1,Peponapis,0
Plaza,2,Peponapis,0
Plaza,3,Peponapis,0
Smoot ,1,Peponapis,0
Smoot ,2,Peponapis,0
Smoot ,3,Peponapis,0
Spangle,1,Peponapis,0
Spangle,2,Peponapis,0
Spangle,3,Peponapis,0
Asotin,1,Perdita,0
Asotin,2,Perdita,1
Asotin,3,Perdita,0
Chipman1,1,Perdita,0
Chipman1,2,Perdita,0
Chipman1,3,Perdita,0
Chipman2,1,Perdita,0
Chipman2,2,Perdita,0
Chipman2,3,Perdita,0
Clark1,1,Perdita,0
Clark1,2,Perdita,0
Clark1,3,Perdita,0
Clark2,1,Perdita,0
Clark2,2,Perdita,0
Clark2,3,Perdita,0
Hutchins,1,Perdita,0
Hutchins,2,Perdita,0
Hutchins,3,Perdita,0
Kamiak,1,Perdita,0
Kamiak,2,Perdita,0
Kamiak,3,Perdita,0
Plaza,1,Perdita,0
Plaza,2,Perdita,2
Plaza,3,Perdita,0
Smoot ,1,Perdita,0
Smoot ,2,Perdita,0
Smoot ,3,Perdita,0
Spangle,1,Perdita,0
Spangle,2,Perdita,2
Spangle,3,Perdita,0
Asotin,1,Protandrena,0
Asotin,2,Protandrena,1
Asotin,3,Protandrena,0
Chipman1,1,Protandrena,0
Chipman1,2,Protandrena,0
Chipman1,3,Protandrena,0
Chipman2,1,Protandrena,0
Chipman2,2,Protandrena,0
Chipman2,3,Protandrena,0
Clark1,1,Protandrena,3
Clark1,2,Protandrena,0
Clark1,3,Protandrena,0
Clark2,1,Protandrena,0
Clark2,2,Protandrena,0
Clark2,3,Protandrena,0
Hutchins,1,Protandrena,0
Hutchins,2,Protandrena,0
Hutchins,3,Protandrena,0
Kamiak,1,Protandrena,15
Kamiak,2,Protandrena,0
Kamiak,3,Protandrena,0
Plaza,1,Protandrena,0
Plaza,2,Protandrena,0
Plaza,3,Protandrena,0
Smoot ,1,Protandrena,0
Smoot ,2,Protandrena,0
Smoot ,3,Protandrena,0
Spangle,1,Protandrena,0
Spangle,2,Protandrena,0
Spangle,3,Protandrena,0
Asotin,1,Sphecodes,1
Asotin,2,Sphecodes,0
Asotin,3,Sphecodes,0
Chipman1,1,Sphecodes,0
Chipman1,2,Sphecodes,0
Chipman1,3,Sphecodes,0
Chipman2,1,Sphecodes,1
Chipman2,2,Sphecodes,0
Chipman2,3,Sphecodes,0
Clark1,1,Sphecodes,4
Clark1,2,Sphecodes,1
Clark1,3,Sphecodes,0
Clark2,1,Sphecodes,0
Clark2,2,Sphecodes,2
Clark2,3,Sphecodes,0
Hutchins,1,Sphecodes,0
Hutchins,2,Sphecodes,2
Hutchins,3,Sphecodes,2
Kamiak,1,Sphecodes,0
Kamiak,2,Sphecodes,1
Kamiak,3,Sphecodes,0
Plaza,1,Sphecodes,0
Plaza,2,Sphecodes,0
Plaza,3,Sphecodes,0
Smoot ,1,Sphecodes,4
Smoot ,2,Sphecodes,1
Smoot ,3,Sphecodes,0
Spangle,1,Sphecodes,0
Spangle,2,Sphecodes,0
Spangle,3,Sphecodes,0
