ID,Date,Period,Site,Transect,Morphogroup,Family,Genus,Notes,
13Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Female,
14Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
15Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
16Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
17Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
18Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
19Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
20Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
21Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
22Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
23Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
24Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Female,
25Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,
26Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Female,
27Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Nomada,,
28Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Andrenidae,Andrena,Male,
29Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Halictidae,Halictus,,
30Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina ,Female,
31Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Andrenidae,Andrena,Male,
32Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina ,Missing head,
33Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Halictidae,Lasioglossum,Missing head,
34Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina ,Missing head,
35Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Halictidae,Lasioglossum,Missing head,
1Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina ,Male,
2Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina ,Female,
3Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,OLB,Andrenidae,Andrena,"Female, some pollen on leg",
4Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,HB,Apidae,Apis,"Apis mellifera, some pollen on leg",
5Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina ,Male,
6Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina ,Female,
7Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina ,Female,
8Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina ,Male,
9Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Nomada,,
10Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina ,Male,
11Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Halictidae,Lasioglossum,,
12Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,OLB,Andrenidae,Andrena,,
1Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
2Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
3Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
4Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
5Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
6Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
7Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
8Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
9Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
10Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
11Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
12Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
13Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
14Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
15Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
16Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
17Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
18Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
19Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
20Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
21Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
22Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
23Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
24Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
25Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
26Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
27Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
28Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
29Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
30Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
31Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
32Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
33Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
34Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
35Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
36Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
37Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
38Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
39Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
40Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
41Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
42Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Nomada,,
43Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
44Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
45Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
46Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
47Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
48Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
49Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
50Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
51Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
52Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
53Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
54Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
55Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
56Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
57Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,OLB,Andrenidae,Andrena,Male,
58Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,OLB,Andrenidae,Andrena,,
59Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
60Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
61Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
62Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
63Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
64Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
65Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
66Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
67Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
68Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
69Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
70Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
71Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
72Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Female,
73Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
74Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
75Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
76Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
77Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
78Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
79Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
80Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
81Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
82Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
83Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
84Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
85Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
86Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
87Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
88Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
89Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
90Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
91Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
92Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
93Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
94Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
95Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
96Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
97Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
98Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
99Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
100Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Male,
101Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,"Abdomen missing, recovered",
102Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,Head missing,
103Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,"Head missing, recovered",
104Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,"Head missing, recovered",
105Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,"Head missing, recovered",
106Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina ,"Head missing, recovered",
1Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
2Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
3Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
4Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
5Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
6Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
7Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
8Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
9Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
10Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
11Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
12Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
13Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
14Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
15Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
16Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
17Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
18Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
19Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
20Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
21Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
22Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
23Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
24Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
25Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
26Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
27Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
28Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
29Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
30Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Male,
31Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,Female,
32Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,"Male, abdomen missing",
33Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina ,"Male, abdomen missing",
34Chp11,0022-06-02,Pre-Bloom,Chipman1,1,OLB,Andrenidae,Andrena,,
1Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
2Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Nomada,,
3Chp21,0022-06-02,Pre-Bloom,Chipman1,2,OLB,Andrenidae,Andrena,,
4Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
5Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Missing head,
6Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Halictidae,Lasioglossum,,
7Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
8Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
9Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
10Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
11Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
12Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,"Male, abdomen missing/recovered",
13Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
14Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Head missing/recovered,
15Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
16Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina ,Male,
1Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
2Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Female,
3Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
4Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
5Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
6Chp31,0022-06-02,Pre-Bloom,Chipman1,3,OLB,Andrenidae,Andrena,Abdomen missing/recovered,
7Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Nomada,,
8Chp31,0022-06-02,Pre-Bloom,Chipman1,3,OLB,Andrenidae,Andrena,,
9Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
10Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
11Chp31,0022-06-02,Pre-Bloom,Chipman1,3,OLB,Halictidae,Lasioglossum,,
12Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
13Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
14Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
15Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
16Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
17Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
18Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
19Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
20Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
21Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina ,Male,
1Chp41,0022-06-02,Pre-Bloom,Chipman1,4,SB,Apidae,Nomada,,
2Chp41,0022-06-02,Pre-Bloom,Chipman1,4,OLB,Andrenidae,Andrena,,
3Chp41,0022-06-02,Pre-Bloom,Chipman1,4,SB,Apidae,Nomada,,
4Chp41,0022-06-02,Pre-Bloom,Chipman1,4,OLB,Andrenidae,Andrena,,
5Chp41,0022-06-02,Pre-Bloom,Chipman1,4,SB,Apidae,Ceratina ,Male,
6Chp41,0022-06-02,Pre-Bloom,Chipman1,4,OLB,Andrenidae,Andrena,,
7Chp41,0022-06-02,Pre-Bloom,Chipman1,4,SB,Halictidae,Lasioglossum,,
8Chp41,0022-06-02,Pre-Bloom,Chipman1,4,SB,Apidae,Ceratina ,Male,
9Chp41,0022-06-02,Pre-Bloom,Chipman1,4,SB,Apidae,Ceratina ,Male,
1Ck12,0022-06-28,Peak-Bloom,Clark1,1,OLB,Apidae,Nomada,,
2Ck12,0022-06-28,Peak-Bloom,Clark1,1,SB,Apidae,Ceratina ,Female,
3Ck12,0022-06-28,Peak-Bloom,Clark1,1,SB,Apidae,Ceratina ,Female,
4Ck12,0022-06-28,Peak-Bloom,Clark1,1,SB,Apidae,Ceratina ,Male,
