Barcode#,ID,Date,Site,Period,Transect,Genus,Subgenus,Species,sex,HW,det:,Lat,Long,Day,Month,Year,County,State,Country,Host,Catch
WSUC00052008,20,7/21/2022,Aso_c,3,1,Andrena,,prunorum,M,3.24,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051917,21,7/21/2022,Aso_c,3,1,Andrena,,prunorum,M,3.06,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051852,22,7/21/2022,Aso_c,3,1,Andrena,,prunorum,M,3.04,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052714,23,7/21/2022,Aso_c,3,1,Andrena,,scurra,F,2.76,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052688,24,7/21/2022,Aso_c,3,1,Andrena,,scurra,F,2.82,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051801,25,7/21/2022,Aso_c,3,1,Andrena,,prunorum,M,3.27,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052701,26,7/21/2022,Aso_c,3,1,Andrena,,scurra,F,2.82,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051904,27,7/21/2022,Aso_c,3,1,Andrena,,prunorum,M,2.82,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051865,28,7/21/2022,Aso_c,3,1,Andrena,,prunorum,M,3.15,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051839,29,7/21/2022,Aso_c,3,1,Andrena,,prunorum,M,3.20,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051891,30,7/21/2022,Aso_c,3,1,Andrena,,prunorum,M,3.08,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052027,31,7/21/2022,Aso_c,3,1,Halictus,,vigatellus,M,1.88,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052104,32,7/21/2022,Aso_c,3,1,Sphecodes,,B,M,1.54,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052129,33,7/21/2022,Aso_c,3,1,Wasp,,,,1.65,,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052038,34,7/21/2022,Aso_c,3,1,Wasp,,,,1.39,,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052165,35,7/21/2022,Aso_c,3,1,Lasioglossum,,pulveris,M,1.08,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052155,36,7/21/2022,Aso_c,3,1,Wasp,,,,1.52,,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052064,37,7/21/2022,Aso_c,3,1,Wasp,,,,1.54,,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052015,38,7/21/2022,Aso_c,3,1,Wasp,,,,1.31,,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051780,39,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.46,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051871,40,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.45,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051767,41,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.72,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051806,42,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.79,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051910,43,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.81,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051923,44,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.88,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051975,45,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.63,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051884,46,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.90,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051845,47,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.85,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051858,48,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.84,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052001,49,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.85,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051897,50,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.55,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051936,51,7/21/2022,Aso_c,3,3,Andrena,,prunorum,F,3.89,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052584,52,7/21/2022,Aso_c,3,3,Andrena,,scurra,F,2.94,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051826,53,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,3.08,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051787,54,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,3.29,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051774,55,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,3.01,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051748,56,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,3.11,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051983,57,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,2.95,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051931,58,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,3.12,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051671,59,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,3.28,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051996,60,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,2.85,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051905,61,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,3.11,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052675,62,7/21/2022,Aso_c,3,3,Andrena,,scurra,F,2.87,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051710,63,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,3.09,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052649,64,7/21/2022,Aso_c,3,3,Andrena,,scurra,F,2.89,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051736,65,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,2.83,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051723,66,7/21/2022,Aso_c,3,3,Andrena,,prunorum,M,2.91,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052194,67,7/21/2022,Aso_c,3,3,Sphecodes,,A,F,2.85,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052375,68,7/21/2022,Aso_c,3,3,Lasioglossum,,punctatoventre,F,1.48,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052372,69,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,M,1.31,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052203,70,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,M,1.42,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052346,71,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,M,1.45,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052143,72,7/21/2022,Aso_c,3,3,Sphecodes,,C,M,1.36,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052146,73,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,F,1.47,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052107,74,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,F,1.51,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052263,75,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,F,1.55,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052126,76,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,M,1.40,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052061,77,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,M,1.25,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052314,78,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,F,1.46,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052065,79,7/21/2022,Aso_c,3,3,Sphecodes,,C,M,1.43,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052495,80,7/21/2022,Aso_c,3,3,Lasioglossum,(Dialictus),,M,1.36,CALankford2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052034,81,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,M,1.27,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052048,82,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,M,1.19,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052017,83,7/21/2022,Aso_c,3,3,Wasp,,,,NA,,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052469,84,7/21/2022,Aso_c,3,3,Lasioglossum,(Dialictus),,M,1.26,CALankford2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052087,85,7/21/2022,Aso_c,3,3,Lasioglossum,,pulveris,M,1.28,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052312,86,7/21/2022,Aso_c,3,3,Sphecodes,,C,F,1.60,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052098,87,7/21/2022,Aso_c,3,3,Lasioglossum,,punctatoventre,F,1.51,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052468,88,7/21/2022,Aso_c,3,3,Lasioglossum,(Dialictus),,M,1.37,CALankford2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052227,89,7/21/2022,Aso_c,3,3,Lasioglossum,,incompletum,F,1.43,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052168,90,7/21/2022,Aso_c,3,3,Wasp,,,,1.39,,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052691,91,7/21/2022,Aso_c,3,3,Lasioglossum,(Dialictus),,M,1.47,CALankford2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052482,92,7/21/2022,Aso_c,3,3,Lasioglossum,(Dialictus),,M,1.08,CALankford2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052318,93,7/21/2022,Aso_c,3,3,Lasioglossum,,incompletum,F,1.25,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052021,94,7/21/2022,Aso_c,3,3,Wasp,,,,1.58,,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052142,95,7/21/2022,Aso_c,3,3,Wasp,,,,1.35,,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051651,96,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.70,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051859,97,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.68,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051807,98,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.85,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051989,99,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.64,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051963,100,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.93,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052002,101,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.94,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051885,102,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.55,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051664,103,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.73,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051681,104,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.86,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051677,105,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.77,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051898,106,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.67,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051768,107,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.62,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051794,108,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.85,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051703,109,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.67,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051729,110,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.82,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051755,111,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.74,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051846,112,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.46,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051872,113,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.76,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052519,114,7/21/2022,Aso_c,3,4,Andrena,,scurra,F,2.85,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051937,115,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.63,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051716,116,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.78,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051976,117,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.57,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051950,118,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.54,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051690,119,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.86,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051951,120,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.89,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051899,121,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.81,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052003,122,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.75,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051808,123,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.54,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051938,124,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.82,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051925,125,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.45,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051655,126,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.82,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051795,127,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.74,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051769,128,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.45,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051665,129,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.76,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051990,130,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.65,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051814,131,7/21/2022,Aso_c,3,4,Andrena,,prunorum,M,2.89,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051924,132,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.76,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051668,133,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.69,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051853,134,7/21/2022,Aso_c,3,4,Andrena,,prunorum,M,3.20,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051911,135,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.59,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051820,136,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.69,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051742,137,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.50,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051781,138,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.64,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051833,139,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.68,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051782,140,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.96,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051691,141,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.60,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052006,142,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.56,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051863,143,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.60,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051993,144,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.78,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051967,145,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.66,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051811,146,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.66,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051876,147,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.69,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051915,148,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.69,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051957,149,7/21/2022,Aso_c,3,4,Andrena,,prunorum,M,2.98,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051980,150,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.34,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051785,151,7/21/2022,Aso_c,3,4,Andrena,,prunorum,F,3.67,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052415,152,7/21/2022,Aso_c,3,4,Andrena,,scurra,F,2.79,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052376,153,7/21/2022,Aso_c,3,4,Andrena,,scurra,F,2.94,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052454,154,7/21/2022,Aso_c,3,4,Andrena,,scurra,F,2.80,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051879,155,7/21/2022,Aso_c,3,4,Andrena,,prunorum,M,3.09,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052078,156,7/21/2022,Aso_c,3,4,Colletes,,kincaidii,F,3.02,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00052441,157,7/21/2022,Aso_c,3,4,Andrena,,scurra,F,2.67,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051918,158,7/21/2022,Aso_c,3,4,Andrena,,prunorum,M,2.93,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
WSUC00051804,159,7/21/2022,Aso_c,3,4,Lasioglossum,,sisymbrii,F,2.41,KWWright2025,46.25037,-117.26272,21,July,2022,Asotin,WA,USA,Canola,Net
