ID,date,period,site,transect,morphogroup,family,genus,Notes,week,land_type
21Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Nomada,,22,canola
22Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
23Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male. Abdomen missing,22,canola
24Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
25Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Sphecodes,,22,canola
26Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Male,22,canola
27Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
28Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
29Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
30Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
31Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
32Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
33Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
34Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Ceratina,Female,22,canola
35Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,22,canola
36Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Halictidae,Halictus,,22,canola
37Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Apidae,Nomada,,22,canola
38Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,SB,Megachilidae,Osmia,,22,canola
39Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,22,canola
40Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,22,canola
41Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,22,canola
42Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,22,canola
43Chpp41,0022-06-02,Pre-Bloom,Chipman2,4,OLB,Andrenidae,Andrena,,22,canola
1Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
2Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
3Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
4Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
5Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
6Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
7Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
8Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
9Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,GB,Megachilidae,Osmia,,22,canola
10Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
11Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
12Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
13Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Female,22,canola
14Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
15Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
16Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
17Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
18Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
19Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
20Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
21Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
22Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
23Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
24Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Female,22,canola
25Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Male,22,canola
26Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Female,22,canola
27Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Nomada,,22,canola
28Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Andrenidae,Andrena,Male,22,canola
29Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Halictidae,Halictus,,22,canola
30Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Female,22,canola
31Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Andrenidae,Andrena,Male,22,canola
32Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Missing head,22,canola
33Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Halictidae,Lasioglossum,Missing head,22,canola
34Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Apidae,Ceratina,Missing head,22,canola
35Chpp31,0022-06-02,Pre-Bloom,Chipman2,3,SB,Halictidae,Lasioglossum,Missing head,22,canola
1Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina,Male,22,canola
2Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina,Female,22,canola
3Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,OLB,Andrenidae,Andrena,Female, some pollen on leg,22,canola
4Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,HB,Apidae,Apis,Apis mellifera, some pollen on leg,22,canola
5Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina,Male,22,canola
6Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina,Female,22,canola
7Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina,Female,22,canola
8Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina,Male,22,canola
9Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Nomada,,22,canola
10Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Apidae,Ceratina,Male,22,canola
11Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,SB,Halictidae,Lasioglossum,,22,canola
12Chpp11,0022-06-02,Pre-Bloom,Chipman2,1,OLB,Andrenidae,Andrena,,22,canola
1Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
2Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
3Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
4Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
5Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
6Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
7Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
8Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
9Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
10Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
11Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
12Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
13Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
14Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
15Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
16Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
17Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
18Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
19Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
20Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
21Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
22Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
23Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
24Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
25Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
26Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
27Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
28Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
29Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
30Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
31Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
32Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
33Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
34Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
35Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
36Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
37Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
38Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
39Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
40Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
41Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
42Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Nomada,,22,canola
43Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
44Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
45Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
46Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
47Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
48Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
49Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
50Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
51Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
52Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
53Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
54Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
55Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
56Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
57Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,OLB,Andrenidae,Andrena,Male,22,canola
58Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,OLB,Andrenidae,Andrena,,22,canola
59Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
60Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
61Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
62Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
63Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
64Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
65Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
66Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
67Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
68Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
69Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
70Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
71Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
72Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Female,22,canola
73Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
74Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
75Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
76Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
77Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
78Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
79Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
80Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
81Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
82Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
83Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
84Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
85Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
86Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
87Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
88Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
89Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
90Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
91Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
92Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
93Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
94Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
95Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
96Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
97Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
98Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
99Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
100Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Male,22,canola
101Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Abdomen missing, recovered,22,canola
102Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Head missing,22,canola
103Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Head missing, recovered,22,canola
104Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Head missing, recovered,22,canola
105Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Head missing, recovered,22,canola
106Chpp21,0022-06-02,Pre-Bloom,Chipman2,2,SB,Apidae,Ceratina,Head missing, recovered,22,canola
1Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
2Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
3Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
4Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
5Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
6Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
7Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
8Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
9Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
10Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
11Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
12Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
13Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
14Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
15Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
16Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
17Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
18Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
19Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
20Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
21Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
22Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
23Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
24Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
25Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
26Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
27Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
28Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
29Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
30Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male,22,canola
31Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Female,22,canola
32Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male, abdomen missing,22,canola
33Chp11,0022-06-02,Pre-Bloom,Chipman1,1,SB,Apidae,Ceratina,Male, abdomen missing,22,canola
34Chp11,0022-06-02,Pre-Bloom,Chipman1,1,OLB,Andrenidae,Andrena,,22,canola
1Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
2Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Nomada,,22,canola
3Chp21,0022-06-02,Pre-Bloom,Chipman1,2,OLB,Andrenidae,Andrena,,22,canola
4Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
5Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Missing head,22,canola
6Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Halictidae,Lasioglossum,,22,canola
7Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
8Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
9Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
10Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
11Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
12Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male, abdomen missing/recovered,22,canola
13Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
14Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Head missing/recovered,22,canola
15Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
16Chp21,0022-06-02,Pre-Bloom,Chipman1,2,SB,Apidae,Ceratina,Male,22,canola
1Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
2Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Female,22,canola
3Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
4Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
5Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
6Chp31,0022-06-02,Pre-Bloom,Chipman1,3,OLB,Andrenidae,Andrena,Abdomen missing/recovered,22,canola
7Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Nomada,,22,canola
8Chp31,0022-06-02,Pre-Bloom,Chipman1,3,OLB,Andrenidae,Andrena,,22,canola
9Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
10Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
11Chp31,0022-06-02,Pre-Bloom,Chipman1,3,OLB,Halictidae,Lasioglossum,,22,canola
12Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
13Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
14Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
15Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
16Chp31,0022-06-02,Pre-Bloom,Chipman1,3,SB,Apidae,Ceratina,Male,22,canola
