date,period,site,land_type,latitude,longitude,transect,morphogroup,family,genus,head_width,intertegular_space,in_canola,subgenus,species
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,3.01,2.15,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.75,2.58,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.72,2,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.69,1.76,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,2.86,2.07,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.63,2.65,no,NA,NA
2022-06-07,Pre-Bloom,Clark2,natural,46.835963,-117.220154,2,Solitary,Andrenidae,Andrena,2.54,1.58,no,NA,NA
2022-07-07,Peak-Bloom,Hutchins,semi,46.37795769,-117.877145,4,Solitary,Andrenidae,Andrena,4.38,3.23,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,3.42,2.24,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,4,Solitary,Andrenidae,Andrena,2.47,1.79,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.1,1.25,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.43,2.26,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.68,1.76,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,2.03,1.24,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,2.85,1.86,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.93,1.81,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,3.4,2.17,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,4,Solitary,Andrenidae,Andrena,2.01,1.3,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.08,1.3,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.45,2.23,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.72,1.75,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.97,1.97,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,1.71,0.88,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,1.79,1.37,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.03,2.03,no,NA,NA
2022-06-15,Pre-Bloom,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,3.12,1.98,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.11,1.35,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.89,2.01,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.73,1.81,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,1.65,0.96,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,1.77,1.19,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.82,1.89,no,NA,NA
2022-06-15,Pre-Bloom,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,2.94,1.6,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.99,1.29,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.26,1.49,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,2,Solitary,Andrenidae,Andrena,2.1,1.25,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.61,1.65,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.8,1.88,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,1.65,1.15,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.07,1.21,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.34,1.51,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.86,1.96,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.75,1.8,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.04,1.16,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.43,1.7,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.8,1.83,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.78,2.01,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.91,1.23,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,3.7,2.5,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,3,Solitary,Andrenidae,Andrena,2.8,1.84,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.4,2.24,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.77,1.8,no,NA,NA
2022-07-25,Post-Bloom,Chipman1,semi,46.721549,-117.153,1,Solitary,Andrenidae,Andrena,3.6,2.37,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,3.86,2.64,no,NA,NA
2022-07-05,Peak-Bloom,Chipman2,semi,46.7371882,-117.0662461,4,Solitary,Andrenidae,Andrena,2.61,1.42,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,1,Solitary,Andrenidae,Andrena,3.05,1.99,no,NA,NA
2022-07-07,Peak-Bloom,Hutchins,semi,46.37795769,-117.877145,1,Solitary,Andrenidae,Andrena,4.38,3.33,no,NA,NA
2022-07-20,Post-Bloom,Hutchins,semi,46.37795769,-117.877145,3,Solitary,Andrenidae,Andrena,3.73,2.82,no,NA,NA
2022-07-20,Post-Bloom,Hutchins,semi,46.37795769,-117.877145,4,Solitary,Andrenidae,Andrena,3.77,2.47,no,NA,NA
2022-06-09,Pre-Bloom,Plaza,natural,47.397565,-117.57463,1,Solitary,Andrenidae,Andrena,1.8,1.23,no,NA,NA
2022-06-09,Pre-Bloom,Plaza,natural,47.397565,-117.57463,2,Solitary,Andrenidae,Andrena,3.97,2.84,no,NA,NA
2022-06-09,Pre-Bloom,Plaza,natural,47.397565,-117.57463,4,Solitary,Andrenidae,Andrena,2.98,2.26,no,NA,NA
2022-07-08,Peak-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,3.67,2.45,no,NA,NA
2022-06-09,Pre-Bloom,Spangle,natural,47.397378,-117.488876,1,Solitary,Andrenidae,Andrena,1.92,1.18,no,NA,NA
2022-06-09,Pre-Bloom,Spangle,natural,47.397378,-117.488876,2,Solitary,Andrenidae,Andrena,3.16,2.14,no,NA,NA
2022-06-09,Pre-Bloom,Spangle,natural,47.397378,-117.488876,4,Solitary,Andrenidae,Andrena,1.94,1.23,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.5,1.74,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.65,1.74,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,4,Solitary,Andrenidae,Andrena,2.38,1.57,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.7,1.83,no,NA,NA
2022-07-21,Post-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.71,1.69,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,2.62,1.69,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.88,2,no,NA,NA
2022-06-15,Pre-Bloom,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,3.02,1.88,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.83,1.82,no,NA,NA
2022-06-15,Pre-Bloom,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,2.67,1.78,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.87,1.92,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.79,1.77,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.54,2.13,no,NA,NA
2022-06-15,Pre-Bloom,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,1.77,1.17,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.27,2.08,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.03,1.91,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.82,1.83,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.79,1.89,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.8,1.14,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.72,1.86,no,NA,NA
2022-06-02,Pre-Bloom,Chipman2,semi,46.7371882,-117.0662461,3,Solitary,Andrenidae,Andrena,3.21,1.99,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.68,2.03,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.78,1.95,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.01,1.92,no,NA,NA
2022-06-15,Pre-Bloom,Kamiak,natural,46.8676508,-117.1510624,1,Solitary,Andrenidae,Andrena,2.76,1.83,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.84,1.66,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,2,Solitary,Andrenidae,Andrena,3.75,2.7,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.37,2.39,no,NA,NA
2022-07-05,Peak-Bloom,Chipman1,semi,46.721549,-117.153,1,Solitary,Andrenidae,Andrena,2.93,2.15,no,NA,NA
2022-07-25,Post-Bloom,Chipman1,semi,46.721549,-117.153,1,Solitary,Andrenidae,Andrena,2.93,2.13,no,NA,NA
2022-06-02,Pre-Bloom,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,2.51,1.74,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,1,Solitary,Andrenidae,Andrena,3.05,1.84,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,3,Solitary,Andrenidae,Andrena,2.38,1.65,no,NA,NA
2022-06-27,Peak-Bloom,Clark2,natural,46.835963,-117.220154,3,Solitary,Andrenidae,Andrena,2.72,1.6,no,NA,NA
2022-06-30,Peak-Bloom,Kamiak,natural,46.8676508,-117.1510624,2,Solitary,Andrenidae,Andrena,3.23,2.1,no,NA,NA
2022-07-08,Peak-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,2.76,1.87,no,NA,NA
2022-06-09,Pre-Bloom,Spangle,natural,47.397378,-117.488876,1,Solitary,Andrenidae,Andrena,2.55,1.59,no,NA,NA
2022-08-02,Post-Bloom,Spangle,natural,47.397378,-117.488876,3,Solitary,Andrenidae,Andrena,2.69,1.85,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.69,1.72,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.07,2.04,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,2.02,1.34,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.84,1.83,no,NA,NA
2022-07-25,Post-Bloom,Chipman1,semi,46.721549,-117.153,3,Solitary,Andrenidae,Andrena,3.64,2.57,no,NA,NA
2022-06-02,Pre-Bloom,Chipman2,semi,46.7371882,-117.0662461,3,Solitary,Andrenidae,Andrena,2.94,1.92,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.1,2.12,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.84,1.9,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.09,1.99,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,2.65,1.67,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.77,1.66,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.68,1.72,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,2.63,1.73,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.79,1.81,no,NA,NA
2022-06-02,Pre-Bloom,Chipman1,semi,46.721549,-117.153,1,Solitary,Andrenidae,Andrena,2.8,1.99,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.41,1.78,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.97,1.36,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.25,2.1,no,NA,NA
2022-06-02,Pre-Bloom,Chipman2,semi,46.7371882,-117.0662461,4,Solitary,Andrenidae,Andrena,3,2.33,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.54,2.19,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.76,1.19,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.96,2,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.89,1.91,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.75,1.79,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.21,2.2,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.78,1.8,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.62,1.68,no,NA,NA
2022-06-02,Pre-Bloom,Chipman2,semi,46.7371882,-117.0662461,4,Solitary,Andrenidae,Andrena,3.91,2.64,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.9,1.8,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,3.02,1.81,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,2,Solitary,Andrenidae,Andrena,2.85,1.9,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,3,Solitary,Andrenidae,Andrena,3.31,2.23,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,3.25,2.18,no,NA,NA
2022-06-02,Pre-Bloom,Chipman1,semi,46.721549,-117.153,2,Solitary,Andrenidae,Andrena,2.51,1.66,no,NA,NA
2022-06-02,Pre-Bloom,Chipman2,semi,46.7371882,-117.0662461,1,Solitary,Andrenidae,Andrena,2.78,2.12,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,1,Solitary,Andrenidae,Andrena,2.78,1.84,no,NA,NA
2022-07-26,Post-Bloom,Clark1,semi,46.82942655,-117.1411106,1,Solitary,Andrenidae,Andrena,1.71,1.12,no,NA,NA
2022-06-28,Peak-Bloom,Clark1,semi,46.82942655,-117.1411106,3,Solitary,Andrenidae,Andrena,3.59,2.57,no,NA,NA
2022-06-22,Pre-Bloom,Hutchins,semi,46.37795769,-117.877145,2,Solitary,Andrenidae,Andrena,2.62,1.95,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,3.96,3.05,no,NA,NA
2022-06-09,Pre-Bloom,Spangle,natural,47.397378,-117.488876,2,Solitary,Andrenidae,Andrena,2.9,1.96,no,NA,NA
2022-08-02,Post-Bloom,Spangle,natural,47.397378,-117.488876,3,Solitary,Andrenidae,Andrena,2.54,1.63,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.76,1.87,no,NA,NA
2022-06-02,Pre-Bloom,Chipman2,semi,46.7371882,-117.0662461,4,Solitary,Andrenidae,Andrena,3.35,2.21,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.03,1.97,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.71,1.66,no,NA,NA
2022-06-02,Pre-Bloom,Chipman2,semi,46.7371882,-117.0662461,4,Solitary,Andrenidae,Andrena,2.66,1.91,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.86,1.77,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.62,1.77,no,NA,NA
2022-06-02,Pre-Bloom,Chipman2,semi,46.7371882,-117.0662461,4,Solitary,Andrenidae,Andrena,2.77,1.83,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.05,2.16,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.57,1.85,no,NA,NA
2022-06-02,Pre-Bloom,Chipman2,semi,46.7371882,-117.0662461,4,Solitary,Andrenidae,Andrena,3.31,2.21,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.7,1.87,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.75,1.93,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.26,1.57,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.82,1.94,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,3.12,1.8,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.97,1.29,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.59,1.71,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.46,1.72,no,NA,NA
2022-06-21,Pre-Bloom,Smoot,natural,46.82218897,-117.237749,3,Solitary,Andrenidae,Andrena,1.91,1.28,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.7,1.77,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.48,1.69,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.88,1.8,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.85,1.91,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.76,1.84,no,NA,NA
2022-06-07,Pre-Bloom,Clark1,semi,46.82942655,-117.1411106,4,Solitary,Andrenidae,Andrena,2.38,1.63,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,1,Solitary,Andrenidae,Andrena,2.85,1.91,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,2,Solitary,Andrenidae,Andrena,2.82,1.93,no,NA,NA
2022-06-08,Pre-Bloom,Asotin,natural,46.26055038,-117.29982,3,Solitary,Andrenidae,Andrena,3.21,2.13,no,NA,NA
2022-06-29,Peak-Bloom,Asotin,natural,46.26055038,-117.29982,4,Solitary,Andrenidae,Andrena,2.72,1.86,no,NA,NA
2022-06-02,Pre-Bloom,Chipman1,semi,46.721549,-117.153,4,Solitary,Andrenidae,Andrena,2.72,1.86,no,NA,NA
2022-07-26,Post-Bloom,Clark1,semi,46.82942655,-117.1411106,1,Solitary,Andrenidae,Andrena,1.5,0.96,no,NA,NA
2022-06-28,Peak-Bloom,Clark1,semi,46.82942655,-117.1411106,3,Solitary,Andrenidae,Andrena,3.24,2.06,no,NA,NA
